Start_date,Year,Count,Days_Open,Avg_Count,News_Count,Vis_change_rate,big_data_newsCount,prev_count,mid_count,after_count,WeekDay,Avg_Tmp,High_Tmp,Low_Tmp,Month,Day
2000-08-11,2000,188046,10,18804.6,25,0,94,54,26,15,4,26.98,32.02,23.36,8,11
2001-08-11,2001,245338,10,24533.8,27,0.304670134,82,39,28,16,5,25.95,30.45,22.15,8,11
2002-08-09,2002,209510,10,20951,31,-0.146035266,77,45,20,12,4,22.58,25.22,20.85,8,9
2003-08-07,2003,151235,11,13748.63636,47,-0.343771831,68,27,27,14,3,23.77272727,27.7,20.55454545,8,7
2004-07-31,2004,126596,11,11508.72727,86,-0.162918637,96,68,16,12,5,28.22727273,33.32727273,24.36363636,7,31
2005-08-12,2005,283333,10,28333.3,35,1.461896901,36,23,3,11,4,25.84,29.48,23.15,8,12
2006-08-11,2006,317012,10,31701.2,70,0.118867199,43,24,15,4,4,26.74,31.53,23.07,8,11
2007-08-15,2007,195251,5,39050.2,43,0.231820877,53,32,8,13,2,27.52,32.38,23.7,8,15
2008-04-19,2008,81291,3,27097,30,-0.306098304,62,41,3,18,5,18.23333333,24.66666667,10.9,4,19
2009-04-10,2009,135169,3,45056.33333,60,0.662779397,62,33,6,16,4,17.16666667,25.6,8.833333333,4,10
2009-10-09,2009,278189,10,27818.9,60,-0.382575147,62,5,3,5,4,14.56,21.25,9.2,10,9
2010-04-23,2010,130000,3,43333.33333,70,0.55769399,85,27,3,8,4,11.93333333,18.93333333,5.466666667,4,23
2010-10-07,2010,117929,4,29482.25,70,-0.319640385,85,29,11,7,3,17.775,23.775,13.425,10,7
2011-10-06,2011,153024,4,38256,72,0.297594315,94,68,9,17,3,14.925,21.85,9.375,10,6
2012-10-26,2012,84252,3,28084,99,-0.265892932,89,67,3,19,4,15.26666667,20.36666667,11.1,10,26
2013-08-09,2013,151878,3,50626,111,0.802663438,97,63,14,20,4,29.06666667,33.3,25.6,8,9
2014-11-12,2014,48000,3,16000,262,-0.68395686,156,83,18,36,2,5.333333333,10.16666667,0.7,11,12
2015-10-17,2015,167800,5,33560,404,1.0975,152,90,21,27,5,16.9,24.3,11.2,10,17
2016-10-22,2016,170210,4,42552.5,449,0.26795292,91,51,5,10,5,16,20.13333333,11.83333333,10,22
2017-10-21,2017,222864,4,55716,296,0.309347277,62,44,4,2,5,14.2,20.775,8.95,10,21
2018-10-19,2018,230000,4,57500,186,0.032019528,46,20,9,9,4,12.45,20.325,6.65,10,19
2019-10-18,2019,240000,4,60000,280,0.043478261,49,37,11,4,4,15.85,22.35,11.075,10,18
