,date,title,source,contents,link
0,1일,[월요논단] ‘노잼도시’ 벗어나기,중도일보,이러한 '노잼도시'의 사례로 대전과 울산이 자주 거론되고 있다. 물론 이 두 도시를 이렇게 특징짓는 데 대한 반론도 심심찮게 제기되고 있다. 우선 서울과 부산을 제외하면 다른 도시들도 재미의 기준에서 보면 별반...,http://www.joongdo.co.kr/main/view.php?key=20191020010007756
1,3일,대전 문화콘텐츠금융센터 설립 '급물살',디트뉴스24,"문화콘텐츠 부족으로 '노잼 도시'라는 불명예를 안고 있는 대전이 이 분야 지원을 확대할 수 있는 길이 열릴 전망이다. 18일 더불어민주당 박범계 의원(서구을)은 ""이번 국정감사에서 '대전 문화콘텐츠금융센터' 설치를...",http://www.dtnews24.com/news/articleView.html?idxno=561149
2,2019.10.08.,"[2019 국감] 국토위, ‘대전 트램’ 질타…안전문제교통체증 우려",뉴스핌,김철민 의원은 “‘노잼도시’ 하면 대전이 뜬다”며 “대전하면 떠오르는 관광지도 없고 대전 가서 힐링하겠다는 장소도 없다. 관광객 1000만명 모으겠다는 계획을 실현할 수 있는 방안이 있냐”고 묻기도 했다.,http://www.newspim.com/news/view/20191008001203
3,2019.09.13.,노잼도시 대전서 단돈 1만원에 먹을 수 있는 '대혜자' 순대국밥+모듬순대 세트,인사이트,0,https://www.insight.co.kr/news/246162
4,2019.08.28.,‘노잼 도시’ 대전이 ‘꿀잼 도시’ 됐어요,동아일보,‘대전 방문의 해’ 정책추진 성과… 2분기 관광객 1분기보다 66% 늘어 ‘노잼(재미가 없는) 도시’로 불리던 대전과 주변 지역이 ‘꿀잼 도시’로 변모하고 있다. 대전시가 올해부터 2021년까지 3년간을 ‘대전 방문의...,http://www.donga.com/news/article/all/20190828/97148114/1
5,2019.08.27.,"[창간 69주년-대전방문의 해 100배 즐기기]'노잼도시' 편견 그만, 이런 '꿀잼...",대전일보,"이쯤하면 대전은 노잼도시가 아니라 '유잼(有 재미) 도시', '꿀잼도시'다. 올해부터 2021년까지 3년 간 '대전방문의 해'를 맞는 대전 곳곳엔 발길을 이끌고 붙잡는 곳이 있다. 오월드, 뿌리공원 등 대전의 명소 뿐 아니라 숨은...",http://www.daejonilbo.com/news/newsitem.asp?pk_no=1384340
6,2019.08.28.,노잼 대전? 한 번 와보세요!,충청투데이,"이후 매월 다양한 프로모션과 축제를 개최함으로써 그간 대전을 옥죄어온 '노잼 도시'라는 타이틀을 떼어내는데 기여할 예정이다.SK텔레콤 중부마케팅본부 관계자는 ""SKT Boost Park 상권 활성화를 장기적으로 추진해...",http://www.cctoday.co.kr/news/articleView.html?idxno=2020760
7,2019.07.30.,"'유퀴즈온더블럭' 유재석·조세호, 대전行…노잼→유잼 도시 만들기",TV리포트,이어 대전에 도착한 큰 자기는 “SNS 상에서 대전이 ‘노잼’ 도시로 유명하더라. 저희가 오늘 ‘노잼’ 도시를 ‘유잼’ 도시로 만들어 보도록 하겠다”고 말했다. 제일 처음 도착한 곳을 바로 첨단 과학 기술이...,http://www.tvreport.co.kr/?c=news&m=newsview&idx=1142732
8,2019.09.10.,[추석특집] 추석에도 '노잼 도시 청주',충북일보,"공업단지가 모여있는 울산광역시와 평화의 도시로 일컬어지는 대전광역시가 대표적인 '노잼 도시'로 손꼽힌다. 인구수 차이만 놓고 봤을 때 비교 대상은 아니지만, '노잼 도시' 사이에 청주시도 당당히(?) 이름을 올리고...",http://www.inews365.com/news/article.html?no=593087
9,2019.09.22.,"대전시, 청년친화도시 인증",굿모닝충청,"최시복 대전시 공동체지원국장은 ""대전에서도 청년주간이 지난 한 주 동안 열려 전국의 청년들이 우리 지역을 다시 알고 갔다""며, ""앞으로 대전 청년들이 노잼 도시의 이미지를 바꿔나가는 주도적인 역할을 할 것으로...",http://www.goodmorningcc.com/news/articleView.html?idxno=219813
10,2019.08.23.,다음 달 '노잼도시' 대전에서 짝없는 솔로들 위한 '솔로탈출' 행사 개최된다,인사이트,0,https://www.insight.co.kr/news/242861
11,2019.08.29.,[별책부록 | 2019년 충청권 최고의 여행지 11선] 대전광역시,월간중앙,대전이 ‘노잼 도시’에서 ‘꿀잼 여행도시’로 탈바꿈하기 위한 3개년 계획에 돌입했다. 올해는 대전 여행 천만 시대를 여는 원년으로서 도시 여행의 새로운 틀을 만들고 2021년까지 순차적으로 대표 여행 프로그램을...,http://jmagazine.joins.com/monthly/view/327314
12,2019.07.31.,"[리뷰IS] '유퀴즈' 유재석X조세호가 만난 대전, '노잼 도시' 오해였네",일간스포츠,"유재석과 조세호는 대전에서 시민들을 만나기 전, 대전이 SNS에서 '노잼'(재미없는) 도시라는 이야기가 있다면서 ""우리가 오늘 노잼 도시를 유잼 도시로 만들어 보도록 하겠다""고 포부를 드러냈다. 엑스포 과학 공원에서...",http://isplus.live.joins.com/news/article/aid.asp?aid=23132618
13,2019.08.13.,"""올해 2019년은 국내 대표 노잼 도시 '대전 방문의 해'입니다""",인사이트,0,https://www.insight.co.kr/news/241310
14,2019.09.23.,대전시 '2019 청년친화헌정대상 종합대상' 수상,프라임경제,"최시복 대전시 공동체지원국장은 ""대전에서도 청년주간이 지난 한 주 동안 열려 전국의 청년들이 우리 지역을 다시 알고 갔다""며, ""앞으로 대전 청년들이 노잼 도시의 이미지를 바꿔나가는 주도적인 역할을 할 것으로...",http://www.newsprime.co.kr/news/article.html?no=476018
