연도(회차),방문객 수,개최일수,일 평균 ,연별 키워드 결과수 뉴스,날짜,끌난 일자,수입 예상,지출,온도,인상율
2000년(1회),"188,046",10,18804.6,25,08월 11일,2000-08-20,,,,
2001년(2회),"245,338",10,24533.8,27,08월 11일,2001-08-20,7억,,,
2002년(3회),"209,510",10,20951,31,08월 09일,2002-08-18,,,,
2003년(4회),"151,235",11,13748.63636,47,08월 07일,2003-08-17,9억,8억5천,,
2004년(5회),"126,596",11,11508.72727,103,07월 31일,2004-08-10,,,,
2005년(6회),"283,333",10,28333.3,35,08월 12일,2005-08-21,,16억원 (과학공원 8 대전시 지원 1 한국과학문화재단 7),,
2006년(7회),"317,012",10,31701.2,86,08월 11일,2006-08-20,10% 증가,,,-30%
2007년(8회),"195,251",5,39050.2,79,08월 15일,2007-08-19,,,,
2008년(9회),"81,291",3,27097,50,04월 19일,2019-04-21,,,,
2009년(10회),"135,169",3,45056.33333,60,04월 10일,2009-04-12,,,,
2009년(11회),"278,189",10,27818.9,,10월 09일,2009-10-18,,,,
2010년(12회),"130,000",3,43333.33333,70,04월 23일,2010-04-25,,,,
2010년(13회),"117,929",4,29482.25,,10월 07일,2010-10-10,,,,
2011년(14회),"153,024",4,38256,72,10월 06일,2011-10-09,,,,
2012년(15회),"84,252",3,28084,99,10월 26일,2012-10-28,,,,
2013년(16회),"151,878",3,50626,209,08월 09일,2013-08-11,,,,
2014년(17회),"48,000",3,16000,447,11월 12일,2014-11-14,,,,
2015년(18회),"167,800",5,33560,803,10월 17일,2015-10-21,,,,
2016년(19회),"170,210",4,42552.5,611,10월 22일,2016-10-25,,,,
2017년(20회),"222,864",4,55716,430,10월 21일,2017-10-24,44억원 경제효과,,,30%?증가
2018년(21회) ,"230,000",4,57500,355,10월 19일,2018-10-22,,,,
2019(22회),"240,000",4,60000,779,10월 18일,2019-10-21,,,,
