Year,평균기온(℃),"최고기온(℃)
","최저기온(℃)
"
2000,26.98,32.019999999999996,23.36
2001,25.95,30.45,22.150000000000002
2002,22.58,25.22,20.85
2003,23.772727272727273,27.7,20.554545454545455
2004,28.227272727272727,33.32727272727272,24.363636363636363
2005,25.839999999999996,29.479999999999997,23.15
2006,26.74,31.53,23.07
2007,27.52,32.38,23.7
2008,18.233333333333334,24.666666666666668,10.9
2009,15.161538461538463,22.25384615384615,9.115384615384617
2010,15.271428571428572,21.7,10.014285714285714
2011,14.925,21.85,9.375
2012,15.266666666666666,20.366666666666667,11.1
2013,29.066666666666663,33.300000000000004,25.599999999999998
2014,5.333333333333333,10.166666666666666,0.7000000000000001
2015,16.9,24.3,11.2
2016,16.0,20.133333333333333,11.833333333333334
2017,14.2,20.775,8.95
2018,12.45,20.325,6.65
2019,15.85,22.349999999999998,11.075
