Year,pop,avg_temp,high_temp,low_temp,temp_range,Portrait_temp,humidity,cloudAmount,hourSolarRadiation,hourSunshine,"avg_windSpeed
",high_windspeed,high_,evaporation_amount,rainfall,groundTemperature,Month,Day,Days_Open
2000,188046,26.98,32.02,23.36,8.71,22.69,75.98,6.57,16.881,5.81,11.34,23.675,38.175,2.17,0.4875,31.25,8,11,10
2001,245338,25.95,30.45,22.15,8.3,20.94,72.09,5.41,15.95,5.71,9.77,21.27,34.3,4.03,5.01,28.11,8,11,10
2002,209510,22.58,25.22,20.85,4.37,20.05,87.6,9.18,7.779,0.47,6,15.3,23.7,1.98,11.48,26.34,8,9,10
2003,151235,23.77272727,27.7,20.55454545,7.145454545,18.94545455,74.89090909,6.027272727,15.19090909,4.836363636,8.5,19.24545455,32.1,3.145454545,2.4,30.13636364,8,7,11
2004,126596,28.22727273,33.32727273,24.36363636,8.963636364,22.05454545,69.07272727,4.036363636,19.64363636,7.809090909,5.472727273,16.58181818,28.89090909,5.263636364,2.454545455,30.44545455,7,31,11
2005,283333,25.84,29.48,23.15,6.83,22.78,79.17,6.67,14.064,4.34,4.36,15.84,28.46,2.78,17.45,31.03,8,12,10
2006,317012,26.74,31.53,23.07,8.46,22.09,71.17,5.47,17.689,5.55,5.8,12.97,24.49,4.74,0.49,26.12,8,11,10
2007,195251,27.52,32.38,23.7,8.68,22.8,73.44,5.22,18.866,6.28,4.74,12.38,22.18,4.54,0.7,19.82,8,15,5
2008,81291,18.23333333,24.66666667,10.9,13.76666667,8.866666667,35.76666667,5,18.52666667,6.266666667,11.26666667,24.96666667,39.86666667,5,0,18.16666667,4,19,3
2009,135169,17.16666667,25.6,8.833333333,16.76666667,7.366666667,35.2,2.2,22.00333333,9.933333333,5.766666667,16.3,30.83333333,5.133333333,0,15.33333333,4,10,3
2009,278189,14.56,21.25,9.2,12.05,7.75,67.91,3.3,14.504,7.64,5.33,14.83,27.67,2.52,1.77,17.58,10,9,10
2010,130000,11.93333333,18.93333333,5.466666667,13.46666667,3.2,51.6,3.1,20.95333333,7.533333333,6.466666667,17.3,32.9,3.133333333,0.166666667,18.03333333,4,23,3
2010,117929,17.775,23.775,13.425,10.35,11.825,75.7,4.55,14.9275,6.425,4.325,10.525,19.175,2.125,0.125,19.575,10,7,4
2011,153024,14.925,21.85,9.375,12.475,6.825,68.825,1.9,15.475,8.075,4.5,11.8,20.675,2.4,0,17.975,10,6,4
2012,84252,15.26666667,20.36666667,11.1,9.266666667,7.766666667,79.36666667,5.3,10.74,6.133333333,6.7,15.8,27.83333333,1.866666667,7.2,13.76666667,10,26,3
2013,151878,29.06666667,33.3,25.6,7.7,23.96666667,83,3.8,19.23333333,8.3,5.766666667,18.36666667,32.76666667,4.8,4.366666667,17.23333333,8,9,3
2014,48000,5.333333333,10.16666667,0.7,9.466666667,-2.033333333,63.73333333,5.9,10.75333333,6.533333333,7.566666667,18.73333333,33.63333333,1.5,0.566666667,17.03333333,11,12,3
2015,167800,16.9,24.3,11.2,13.1,6.66,77.44,0.82,14.758,8.3,3.16,8.66,16.34,0.48,0,16.3,10,17,5
2016,170210,16,20.13333333,11.83333333,8.3,9.866666667,73.1,8.033333333,10.73666667,4.866666667,7.666666667,17.03333333,28.2,0,0.333333333,14.7,10,22,4
2017,222864,14.2,20.775,8.95,11.825,4,69.95,1.375,16.1925,9.2,5.15,12.5,26.2,0,0,17.675,10,21,4
2018,230000,12.45,20.325,6.65,13.675,1.825,72.075,2.6,16.8475,9.125,3.05,7.3,14.95,0,0,,10,19,4
2019,240000,15.85,22.35,11.075,11.275,6.15,78.025,4.666666667,14.8125,7.1,2.4,10.525,21.625,0,0,,10,18,4
