,date,title,source,contents,link
0,2014.12.31.,<신년사>권선택 대전광역시장,불교공뉴스,[불교공뉴스-대전시] 시민과 함께 새로운 대전의 100년을 열어가겠습니다 존경하는 대전시민 여러분！ 그리고... 사이언스 페스티벌은 비즈니스와 박람회 요소를 더해 대한민국 대표 과학박람회로 업그레이드...,http://www.bzeronews.com/news/articleView.html?idxno=114597
1,2014.11.27.,"대전시마퇴본부, 사이언스 페스티벌 마약퇴치 캠페인",약업신문,대전광역시마약퇴치운동본부(본부장 송형종)는 지난14일 '제17회 대전 사이언스 페스티벌'을 맞이해 대전무역전시관과 대전컨벤션센터(DCC)에서 마약퇴치 캠페인을 실시하였다. 이날 대전마약퇴치운동본부 임직원 및...,http://www.yakup.com/news/index.html?mode=view&cat=13&nid=179913
2,2014.11.13.,'대전사이언스 페스티벌' 새 출발,충남일보,권선택 대전시장(왼쪽 아홉번째)이 12일 오전 9시 DCC 2층 그랜드볼륨에서 ‘대전사이언스페스티벌 &amp; 세계혁신포럼 통합 개막식’에 참석해 주요 내빈들과 함께 테이프컷팅을 하고 있다. [사진 = 대전시청 제공],http://www.chungnamilbo.com/news/articleView.html?idxno=308156
3,2014.12.15.,대전 사이언스 페스티벌 평가보고회 열려,충청일보,"[대전=충청일보 최성열기자] 대전시는 지난 11월 12일부터 나흘 간 대전컨벤션센터(DCC), 대전무역전시관 일원에서 개최된 17회 대전 사이언스 페스티벌 에 대한 평가보고회를 15일 오후 3시 30분 시청 중회의실에서...",http://www.ccdailynews.com/news/articleView.html?idxno=736630
4,2014.12.21.,대전 중구의회 효축제 예산 삭감 논란,한국일보,대전시는 효문화뿌리 축제를 내년부터 계족산 맨발축제 및 사이언스 페스티벌과 함께 대전 3대축제로 육성하겠다고 밝혔지만 구의회가 관련 예산을 삭감함에 따라 내년 개최조차 불투명해졌다. 이에 대해 중구청...,http://www.hankookilbo.com/v/7f20acead38a488db589945f2b15b529
5,2014.11.16.,대전 사이언스 페스티벌 성료,충청투데이,‘제17회 대전 사이언스페스티벌’이 생활속의 과학체험전을 끝으로 5일간의 대장정을 모두 마쳤다. 16일 대전시에 따르면 올해 사이언스페스티벌은 과학기술도시 대전의 정체성에 맞게 대전세계혁신포럼...,http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=867363
6,2014.11.19.,대전사이언스페스티벌 전시회 '대박',충남일보,"지난 12 ∼16일 대전컨벤션센터(DCC)와 무역전시관 일원에서 열린'2014 대전사이언스 페스티벌'에서다. 이번 대전사이언스 페스티벌은 기존의 관행적인 축제에서 벗어나 WTA 총회, WTA 하이테크페어, 문화산업전...",http://www.chungnamilbo.com/news/articleView.html?idxno=308674
7,2014.11.09.,'대전 사이언스 페스티벌' 12일 개최,중부매일,"지난 2000년부터 과학도시 대전의 대표축제로 개최돼 올해로 17회째를 맞은 '대전 사이언스 페스티벌'이 12일부터 16일까지 대전무역 전시관, 대전컨벤션센터(DCC) 일원에서 개최된다. 올해 '대전 사이언스 페스티벌'은...",http://www.jbnews.com/news/articleView.html?idxno=617892
8,2014.11.18.,"대전사이언스페스티벌 전시회, '대박' 수출성과 이루며 성료",신아일보,지난 12일부터 16일까지 대전컨벤션센터(DCC)와 무역전시관 일원에서 열린 '2014 대전사이언스 페스티벌'에서 기업인들이 바이어들과 수출 상담을 하고 있다. (사진=대전시 제공) [신아일보=대전/김기룡 기자] 80여개의...,http://www.shinailbo.co.kr/news/articleView.html?idxno=415161
9,2014.11.11.,대전 사이언스페스티벌 12일 개최,내일신문,"대전시 관계자는 ""대전 사이언스페스티벌을 대한민국 최고의 과학박람회로 육성하기 위해 올해부터 5개 행사를 통합·개최한다""면서 ""내년부터는 정부출연 연구기관, 민간 연구소, 국립중앙과학관 등 지역의 모든...",http://www.naeil.com/news_view/?id_art=127926
10,2014.11.12.,제17회 대전사이언스 페스티벌,불교공뉴스,권선택 대전시장(왼쪽 아홉번째)이 12일 오전 9시 DCC 2층 그랜드볼륨에서 '대전사이언스페스티벌 &amp; 세계혁신포럼 통합 개막식'에 참석해 주요 내빈들과 함께 테이프컷팅을 하고 있다. 이번 축제는 16일까지...,http://www.bzeronews.com/news/articleView.html?idxno=108419
11,2014.11.30.,"대전마퇴, 600여명 대상 마퇴캠페인",약사공론,대전시마약퇴치운동본부(본부장 송형종)는 지난 14일 '제17회 대전 사이언스 페스티벌'을 맞아 대전무역전시관과 대전컨벤션센터(DCC) 일원에서 마약퇴치 캠페인을 실시했다. 대전마약퇴치운동본부 임직원 및 대전지부...,http://www.kpanews.co.kr/article/show.asp?idx=158895&table=article&category=F
12,2014.11.13.,사이언스페스티벌 핵심 대전세계혁신포럼 과학도시 위상 알렸다,충청투데이,‘제17회 대전 사이언스페스티벌’과 함께 열리고 있는 ‘2014 대전세계혁신포럼’에 대한 세계 각국의 관심이 커지고 있다. 13일 대전시 등에 따르면 세계혁신포럼은 대전시와 유네스코(UNESCO)의 주도로 설립된 국제NGO...,http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=867088
13,2014.12.16.,"대전시의회, 제2차 정례회 마무리",충청일보,"이번 2차 정례회에서는 시와 교육청의 2014년도 2회 추경 예산안을 원안대로 의결하였으며, 2015년도 예산안은 대전시의 경우 재정운영상 과다계상 되었거나 불요불급하다고 판단되는 대전 사이언스 페스티벌 등 총 9억...",http://www.ccdailynews.com/news/articleView.html?idxno=736968
14,2014.11.10.,'대전 사이언스 페스티벌' 과학박람회로 새 출발,충남일보,40개 기관ㆍ220개 부스 운영… 다양한 볼거리ㆍ체험기회 제공 과학도시 대전의 대표축제로 17회째를 맞은 '대전 사이언스 페스티벌'이 12~16일 대전무역 전시관과 대전컨벤션센터(DCC) 일원에서 개최된다. 올해에는...,http://www.chungnamilbo.com/news/articleView.html?idxno=307687
15,2014.11.18.,사이언스 페스티벌 황폐화 100% 대전시 책임,대전일보,대전 사이언스 페스티벌이 갈수록 침체되고 성격도 모호해지고 있다. 관람객도 줄고 행사를 위한 행사로 전락하는 등 마지못해 치르는 듯한 일과성 축제로 전락한 것이다. 가까운 금산 인삼제나 부여·공주 백제문화제...,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1144917
16,2014.12.16.,대전시의회 ‘방사성폐기물 이송 촉구 건의안’ 의결,충청투데이,"이번 제2차 정례회에서는 대전시와 시교육청의 2014년도 제2회 추경 예산안을 원안대로 의결했고, 2015년도 예산안은 대전시의 경우 재정운영상 과다계상 됐거나 불요불급하다고 판단되는 대전 사이언스 페스티벌 등...",http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=873432
17,2014.12.17.,"대전광역시의회, 제2차 정례회 마무리",중부매일,"이번 제2차 정례회에서는 시와 교육청의 2014년도 제2회 추경 예산안을 원안대로 의결했으며, 2015년도 예산안은 대전시의 경우 재정운영상 과다계상 됐거나 불요불급하다고 판단되는 대전 사이언스 페스티벌 등 총...",http://www.jbnews.com/news/articleView.html?idxno=626888
18,2014.11.11.,대전 사이언스페스티벌 출연연 없는 축제되나,연합뉴스,2013 대전 사이언스 페스티벌(자료사진) 대덕특구 출연연 30곳 가운데 11곳만 참가 확정 대전시가 주최하는 과학 축제에 대덕특구 정부출연 연구기관(이하 출연연)의 참여율이 낮을 것으로 우려된다. 시는 국제 행사와...,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20141110151100063&did=1195m
19,2014.11.16.,WTA 대전하이테크페어 성공리에 마쳐,충청일보,[대전=충청일보 이영호기자] 17회 대전사이언스페스티벌 기간 중에 대전시와 세계과학도시연합(WTA)이 '창조경제 기반의 지역 전략 산업'이라는 주제로 대전컨벤션센터에서 개최한 '11회 WTA 대전 하이테크페어'가...,http://www.ccdailynews.com/news/articleView.html?idxno=729346
20,2014.12.19.,대전 중구의회 '효문화축제' 예산 삭감 논란,연합뉴스,특히 효문화뿌리축제는 중구의 대표적인 축제이자 대전시가 내년부터 계족산 맨발축제 및 사이언스 페스티벌과 함께 지역 3대 축제로 육성하기로 한 축제다. 대전 효문화뿌리축제(연합뉴스 자료사진) 관련 예산이...,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20141219161500063&did=1195m
21,2014.11.12.,제17회 대전사이언스페스티벌 개최,일요신문,[일요신문] 대전시는 12~16일까지 대전무역전시관과 대전 컨벤션센터 일원에서 제17회 대전사이언스페스티벌을 연다. 시에 따르면 이번 행사는 흩어져 치르던 과학분야 행사를 통합 개최하여 한국의 대표...,http://ilyo.co.kr/?ac=article_view&entry_id=100051
22,2014.11.17.,"권선택 대전시장 ""도시철도 2호선 올해 안에 결정""",연합뉴스,"최근 열린 대전 사이언스 페스티벌의 콘텐츠 부실 논란과 관련, ""전시 부문이 미흡하다는 지적이 있었다""며 ""개최 시기와 규모, 행사 방식 등에 대한 객관적인 평가를 통해 발전방안을 마련하라""고 주문했다. 이와 함께...",http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20141117107000063&did=1195m
23,2014.11.13.,[여론광장] 대전사이언스 페스티벌을 세계인의 축제로,대전일보,그래서 대전 사이언스 페스티벌을 세계인의 축제 한마당으로 키워나가야 한다. 물론 권선택 시장도 대전 사이언스 페스티벌에 관심과 열정을 여러 차례 피력한 바 있어 큰 활력소가 될 것으로 기대한다. 왜냐하면 대전에는...,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1144245
24,2014.11.13.,'볼거리·즐길거리' 없는 대전 사이언스페스티벌,연합뉴스,' 대전시가 지역 대표축제로 육성하겠다고 공언한 대전 사이언스페스티벌이 부실한 콘텐츠로 빈축을 사고 있다. 13일 대전시와 대전마케팅공사에 따르면 대전 사이언스페스티벌이 지난 12일 개막해 닷새간의 일정에...,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20141113080600063&did=1195m
25,2014.11.17.,사이언스 페스티벌 ‘행사를 위한 행사’ 비판받는 까닭은,대전일보,외부인사 초청행사 중심 운영… `박람회`로 전환 취지 무색 대덕 연계·시민 참여 프로그램 개발 `과학 대중화` 절실 '과학 박람회'를 내건 제17회 사이언스 페스티벌이 대전의 대표 축제로 발돋움하기 위해서는 '과학의...,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1144856
26,2014.11.17.,"대전도시철도 2호선, 최종 정책결정'급물살'",불교공뉴스,"이와함께 권시장은 대전 사이언스 페스티벌과 관련""이번 통합축제는 촉박한 준비일정상 많은 변화를 줄 수는 없었지만 대덕특구기관 참여, 기업참여, 시민참여 면에서 발전가능성을 엿볼수 있었고 전시부문이 미흡하다는...",http://www.bzeronews.com/news/articleView.html?idxno=108929
27,2014.11.11.,"""사이언스페스티벌 국내대표 박람회로""",대전일보,"권 시장은 10일 실·국장과의 주간업무회의에서 오는 12일부터 대전컨벤션센터 일원에서 개최되는 제17회 대전사이언스페스티벌 및 세계혁신포럼에 대해 이같이 강조하고 ""대전사이언스페스티벌은 지금까지의...",http://www.daejonilbo.com/news/newsitem.asp?pk_no=1143974
28,2014.11.07.,대전축제 대폭 구조조정,내일신문,"대전시는 ""대전 사이언스페스티벌, 계족산 맨발축제, 효 문화 뿌리축제를 3대 축제로 육성하고 나머지 축제는 구조조정을 하기로 결정했다""고 6일 밝혔다. 폐지하는 축제는 드라마 페스티벌, 오색 빛 축제, 호락호락...",http://www.naeil.com/news_view/?id_art=127590
29,2014.11.10.,대전과학축제 차별화 세계화 대중화 추진,충청일보,"[대전=충청일보 이영호기자] 권선택 대전시장은 10일""대전사이언스페스티벌은 지금까지의 과학축제와는 분명 다른 차별화, 세계화, 대중화가 목표""라고 전제하고""세계과학도시연합(WTA)과 통합운영되는 이번 축제의 경우...",http://www.ccdailynews.com/news/articleView.html?idxno=727840
30,2014.11.11.,"대전시, 가을 문화행사 속으로 풍덩",불교공뉴스,"대전사이언스페스티벌 '대전세계혁신포럼'은 12일(수)부터 14일(금)까지 DCC 그랜드볼룸, 중회의실 등에서 &lt;창조경제로의 혁신패러다임 전환&gt;이란 주제를 가지고 WTA회원, UNESCO 등 국제기구, 이노비즈협회 등 41개국...",http://www.bzeronews.com/news/articleView.html?idxno=108267
31,2014.11.17.,'제11회 WTA 대전하이테크페어' 성료,충남일보,제17회 대전사이언스페스티벌 기간 중에 대전시와 세계과학도시연합(WTA)이 '창조경제 기반의 지역 전략 산업'이라는 주제로 대전컨벤션센터에서 개최한 '제11회 WTA 대전 하이테크페어'가 13일 폐막했다. 국내외...,http://www.chungnamilbo.com/news/articleView.html?idxno=308413
32,2014.11.18.,"대전도시鐵 2호선, 최종 결정 '급물살'",충남일보,"이와 함께 권시장은 대전 사이언스 페스티벌과 관련 ""이번 통합축제는 촉박한 준비일정상 많은 변화를 줄 수는 없었지만 대덕특구기관 참여, 기업참여, 시민참여 면에서 발전가능성을 엿볼수 있었고 전시부문이...",http://www.chungnamilbo.com/news/articleView.html?idxno=308475
33,2014.11.11.,"대전시, 내년도 예산 4조 1,082억원",불교공뉴스,"특히, 시민 공감이 낮은 소모성 축제 등을 재평가하여 통합?조정하는 개선방안 마련과 3대 대표축제(대전 사이언스 페스티벌, 계족산 맨발축제, 효 문화 뿌리축제) 브랜드화 하여 육성, 발전시켜 나갈 계획이다....",http://www.bzeronews.com/news/articleView.html?idxno=108266
34,2014.11.14.,"대전시, ""예비 발명가들 만나보세요""",충남일보,대전시는 ‘2014년도 제4회 대전발명경진대회’ 우수 아이디어 전시회를 16일까지 대전무역전시관에서‘2014 대전사이언스페스티벌’과 연계해 개최한다고 13일 밝혔다. [사진 = 대전시청 제공] 대전시는 '2014년도 제4회...,http://www.chungnamilbo.com/news/articleView.html?idxno=308259
35,2014.11.12.,[대전] 사이언스 페스티벌 개막…국내 최대 과학행사,SBS,[임채욱/대전 우송중 2학년 : 발명이라는 것을 생각해보니까 일상생활에서 간단히 생각하는 건데 여러 가지 합쳐지면 쉽게 만들 수 있는 거라고 생각하게 됐어요.] 대전 사이언스페스티벌은 오는 16일까지 대전...,http://news.sbs.co.kr/news/endPage.do?news_id=N1002682638&plink=ORI&cooper=NAVER
36,2014.11.13.,대전발명경진대회 우수 아이디어 전시회,불교공뉴스,[불교공뉴스-대전시] 대전시는 「2014년도 제4회 대전발명경진대회」우수 아이디어 전시회를 16일까지 대전무역전시관에서'2014 대전사이언스페스티벌'과 연계하여 개최한다. 13일 시에 따르면 발명경진대회 수상작...,http://www.bzeronews.com/news/articleView.html?idxno=108568
37,2014.11.12.,[동정] 김인식 대전시의회 의장 사이언스페스티벌 개막,충남일보,김인식 대전시의회 의장은 12일 오전 9시 대전컨벤션센터에서 열리는 사이언스페스티벌 하이테크페어 통합개막식 참석.,http://www.chungnamilbo.com/news/articleView.html?idxno=307901
